18889;989;978;989;1003
18977;993;977;989;1007
19066;992;971;989;1009
19154;855;918;991;1011
19243;228;682;992;1012
19332;350;384;990;1014
19420;491;308;448;1014
19507;998;962;420;532
19595;1005;976;388;266
19683;1006;978;259;343
19771;1006;981;480;966
19860;1006;981;951;953
19948;1005;981;910;990
20036;1005;985;182;504
20125;1006;986;220;348
20213;1009;983;233;239
20301;1010;978;179;238
20390;1010;974;188;229
20478;1010;970;183;202
20567;1010;971;162;205
20656;1011;971;125;201
20744;1011;969;100;199
20831;1010;971;85;196
20918;1009;976;76;206
21004;1008;979;39;240
21090;1004;980;79;211
21176;999;979;115;991
21264;993;963;978;1000
21352;972;914;988;1005
21440;607;846;988;1007
21529;403;816;985;1008
21617;257;754;983;1008
21705;991;712;982;1009
21794;999;912;973;1008
21883;1001;939;966;1008
21974;1001;947;939;1009
22065;1000;950;886;1010
22155;1000;950;620;1010
22246;1000;948;183;1010
22336;1001;939;167;1010
22426;1002;937;134;1010
22516;1001;945;87;1009
22604;1001;952;93;1009
22692;1000;956;52;1009
22781;1000;956;60;1009
22870;1000;954;58;1009
22958;1002;947;60;1009
23047;1002;941;50;1009
23135;1003;943;55;1009
23223;1003;944;43;1009
23312;1002;945;42;1009
23400;1002;945;48;1009
23488;1002;943;54;1009
23577;1003;942;46;1009
23665;1003;942;42;1008
23753;1004;948;64;1000
23842;1005;953;105;604
23930;1005;954;102;518
24018;1005;948;104;382
24105;1005;940;86;310
24193;1004;925;52;707
24280;1002;863;867;990
24367;985;486;978;993
24454;398;292;987;999
24541;360;234;987;1004
24629;380;231;988;1007
24718;444;187;988;1010
24806;427;189;989;1012
24894;301;198;989;1012
24983;903;964;962;1012
25071;1001;973;284;997
25159;1004;970;270;599
25248;1001;958;305;457
25335;985;943;272;460
25421;977;896;248;456
25508;985;780;160;489
25594;994;493;149;505
25680;997;354;120;527
25766;999;305;163;432
25853;997;190;986;938
25938;917;95;990;998
26023;489;78;987;1000
26112;306;128;981;1001
26200;418;138;971;1004
